date	tag	published	downloads
2026-09-11	v4.1.5	2026-09-11	2
2026-09-11	v4.1.4	2026-09-11	6
2026-09-11	v4.1.3	2026-09-09	58
2026-09-11	v4.1.2	2026-09-08	29
2026-09-11	v4.1.1	2026-09-06	53
2026-09-11	v4.1.0	2026-09-06	6
2026-09-11	v4.0.4	2026-09-05	38
2026-09-11	v4.0.3	2026-09-04	28
2026-09-11	v4.0.2	2026-09-04	3
2026-09-11	v4.0.1	2026-09-03	83
2026-09-11	v4.0.0	2026-09-03	10
2026-09-11	v3.1.0	2026-08-26	379
2026-09-11	v3.0.0	2026-07-13	630
2026-09-11	v2.4.3	2026-06-22	393
2026-09-11	v2.4.2	2026-06-22	26
2026-09-11	v2.4.1	2026-06-03	362
2026-09-11	v2.4.0	2026-06-02	53
2026-09-11	v2.3.4	2026-05-19	272
2026-09-11	v2.3.3	2026-05-19	15
2026-09-11	v2.3.2	2026-05-18	24
2026-09-11	v2.3.0	2026-05-11	344
2026-09-11	v2.2.2	2026-05-11	3
2026-09-11	v2.2.1	2026-03-20	236
2026-09-11	v2.2.0	2026-03-20	7
2026-09-11	v2.1.2	2026-02-08	102
2026-09-11	v2.1.1	2026-02-07	18
2026-09-11	v2.1.0	2026-02-07	9
2026-09-11	v2.0.6	2026-02-06	9
2026-09-11	v2.0.5	2026-02-06	29
2026-09-11	v2.0.4	2026-02-06	4
2026-09-11	v2.0.3	2026-02-05	60
2026-09-11	v2.0.2	2026-02-05	4
2026-09-11	v2.0.1	2026-01-12	304
